"TreeTopology","Netname","netType"
"(((((l8:0.2145024609,l10:0.21450246087000002)i8:0.4673002,(l4:0.4639609781,l5:0.4639609781)i10:0.2178416828)i7:0.07043213683,l6:0.7522347977)i5:0.1809876026,t29:0.9332224003)i4:0.2002870722,((l7:0.5145400077,l9:0.5145400077)i13:0.06595120684,(l11:0.03843624915,l12:0.03843624915)i17:0.54205496547)i12:0.553018258)i3;","BLN_80.nwk.txt","LN"
"(((l7:0.02939814331,l8:0.02939814331)i5:0.2911625683,l9:0.32056071167)i4:0.2375032751,(l1:0.4916405197,(((l2:0.2232491327,(l4:0.1821979175,(l5:0.04489662554,l6:0.04489662554)i12:0.1373012919)i11:0.04105121526)i10:0.1518583263,l10:0.37510745897000003)i9:0.01205897594,l3:0.38716643500000003)i8:0.1044740847)i7:0.0664234671)i3;","BLN_43.nwk.txt","LN"
"((((t30:0.05964619268,((l11:0.2731876455,(l14:0.01590902716,l15:0.01590902716)i19:0.2572786183)i18:0.5781124477,((l9:0.4021872338,l10:0.4021872338)i22:0.1510724,l7:0.5532596337)i20:0.2980404595)i17:0.07624518718)i16:1.053219869,t29:0.4304339115)i15:0.1662092276,t10:0.3513550277)i13:0.8702842988,(t17:0.452561682,(t31:0.2766768219,((l6:0.6478045965,(l13:0.05434736098,l12:0.05434736098)i11:0.5934572355)i10:0.1928481305,l8:0.8406527269499999)i7:0.5465541225)i6:0.6772589402)i5:0.9527928864999999)i3;","LNF_42.nwk.txt","LN"
"(((l3:0.3058415075,(l5:0.1944045044,l6:0.1944045044)i6:0.1114370031)i5:0.4957985774,(l1:0.6153226201,l2:0.6153226201)i9:0.1863174648)i4:0.2329808064,((l4:0.1988269243,(l8:0.06271017841,l7:0.06271017841)i13:0.13611674596)i11:0.3368186416,(l9:0.04023895739,l10:0.04023895739)i15:0.4954066086)i10:0.4989753254)i3;","LNF_55.nwk.txt","LN"
"(((l9:0.0197498632,l10:0.0197498632)i7:1.09970224,(l2:0.4867629243,l3:0.4867629243)i6:0.63268917845)i4:0.366237083,(l1:1.173562823,((l4:0.2326063658,(l5:0.214667764,l6:0.214667764)i14:0.01793860176)i13:0.4456626029,(l7:0.1427935797,l8:0.1427935797)i15:0.535475389)i12:0.4952938544)i9:0.312126362673)i3;","LNF_90.nwk.txt","LN"
"((((l9:0.02444822976,l10:0.02444822976)i6:0.002763326086,l8:0.02721155584)i5:0.6289875331,l3:0.6561990889)i4:0.69122796,((l2:0.825899836,(((l6:0.07423139968,l7:0.07423139968)i12:0.1298136046,l5:0.204045004245)i11:0.3824731217,l4:0.586518126)i9:0.23938171)i8:0.395438979,l1:1.221338815)i7:0.126088234)i3;","BLNF_39.nwk.txt","LN"
"(((((l6:0.05579505912,l7:0.055795059120000004)i7:0.4445733447,l8:0.5003684038)i6:0.3063130993,((l10:6.234093503e-6,l11:6.234093503e-6)i11:0.2102167865,l5:0.2102230206)i10:0.5964584824)i5:0.06974861917,(l2:0.2761062692,(l3:0.2579105474,l4:0.2579105474)i14:0.01819572179)i13:0.6003238531)i4:0.3789472218,(t28:0.11664480302,l9:0.48590976899599997)i15:0.769467575)i3;","LNF_84.nwk.txt","LN"
"(((l2:0.8897844275,((l7:0.2795799776,(l8:0.2300814911,l9:0.2300814911)i9:0.04949848654)i8:0.4326540054,((l5:0.3498967273,l6:0.3498967273)i11:0.235692471,l4:0.5855891983)i10:0.1266447847)i7:0.17755044453000002)i5:0.3153743137,(l10:0.005283317438,l11:0.005283317438)i12:1.199875424)i4:0.2098915378,l3:1.415050279)i3;","BLN_58.nwk.txt","LN"
"((l3:1.182160734,l4:1.182160734)i19:0.9231294681,(((l5:0.6895891296,l6:0.6895891296)i16:1.1256050177,l7:1.8151941473)i14:0.101657598,((t16:0.1436308763,((l10:0.07430981499,l11:0.07430981499)i11:0.009541061867,l9:0.08385087686)i10:0.37996349507000005)i8:0.1298818572,(l8:0.3487950957,(t14:0.05109437529,l12:0.05647051989)i13:0.2923245758)i12:0.2449011335)i7:1.323155516)i5:0.18843845688)i3;","LNF_64.nwk.txt","LN"
"((((l9:5.640887703e-5,l10:5.640887703e-5)i8:0.3452788489,l4:0.3453352578)i7:0.5697626569,l1:0.91509791465)i5:0.3555735438,(l2:0.798094199,(((l7:0.1117892689,l8:0.1117892689)i14:0.5770675497,l3:0.6888568186)i13:0.008231662454,(l5:0.2306993158,l6:0.2306993158)i15:0.4663891653)i12:0.1010057179)i11:0.47257725937)i3;","BLN_90.nwk.txt","LN"
